CCT,Plantel,Subnivel,Subsistema,Municipio,Localidad,Colonia/Asentamiento,Calle,NumExt,Sostenimiento,Dependencia,Dominio (institucional público),Fuente (si aplica)
22MMS0217Q,INSTITUTO PREUNIVERSITARIO DEL CENTRO DE MEXICO CAMPUS QUERETARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,NIÑOS HEROES,CALLE IGNACIO ZARAGOZA PONIENTE,332.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0123B,INSTITUTO QUERETANO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,SAN JAVIER,CALLE MARIANO ARISTA,51.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0195V,INSTITUTO QUERETANO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,AVENIDA UNIVERSIDAD,2.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0133I,INSTITUTO TECNOLOGICO ANGLO MEXICANO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CARRETAS,BOULEVARD BERNARDO QUINTANA,148.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0159Q,INSTITUTO THOMAS JEFFERSON,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,RANCHO SAN ANTONIO,CALLE ASTEROIDES,1200.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0311V,IT INNOVATION SCHOOL,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,LA ESPIGA,CALLE PASEO DEL RIEGO,10115.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0134H,ITESM CAMPUS QUERETARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,SAN PABLO,CALLE EPIGMENIO GONZALEZ,500.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0198S,JOHN F KENNEDY,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,JURICA,AVENIDA SABINOS,272.0,PRIVADO,ASOCIACIÓN CIVIL,jfk.edu.mx,JFK pages/social show emails @jfk.edu.mx
22MMS0135G,LIC. JOSE GUADALUPE RAMIREZ ALVAREZ,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,LOS CEDROS,CALLE PRIMAVERA,101.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0166Z,LICEO CORREGIDORA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,LA PIEDAD,CALLE RETABLO,21.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0270L,MH INSTITUCIÓN EDUCATIVA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,LA LOMA,CALLE MONTE HOREB,105.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0189K,NEW PORT HIGH SCHOOL,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,JURIQUILLA,JURICA ACUEDUCTO,BOULEVARD UNIVERSITARIO,520.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0204M,PREPA ANÁHUAC QUERÉTARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,EL CAMPANARIO,CALLE AV. DEL CAMPANARIO,88.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0288K,PREPA BALMORAL ESCOCÉS,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,EL SALITRE,,CALLE PALMA SOLA,911.0,PRIVADO,SOCIEDAD CIVIL,,
